mmsiNumber,Vessel_Name,Vessel_Type,Vessel_Category
219019023,MHG 006,SAR,OTHER
304559000,MARIA G,Cargo,CARGO
257024790,VANESSA,Pleasure Craft ,PLEASURE
245050000,TUCANA,Cargo,CARGO
246443000,IEPBORG,Cargo,CARGO
220466000,BALTSUND,Tug,TUG
259488000,ROBAS,Fish Carrier,CARGO
305791000,ANGELO,Cargo,CARGO
219018969,N/A ,,UNKNOWN
311771000,N/A ,,CARGO
376474000,LARGONA,,CARGO
219020822,N/A ,,PLEASURE
230603000,STENA ,,TANKER
636016268,N/A ,RORO CARGO,CARGO
219082000,N/A ,,TANKER
304625000,KILLU,cargo,CARGO
224063470,N/A ,,PLEASURE
245451000,N/A ,CONTAINER,CARGO
211211330,NATO WARSHIP M1090,Military Ops,MILITARY
211211220,BAD RAPPENAU,Military Ops,MILITARY
246827000,HESTIA,Cargo,CARGO
636017360,MSC MELANI III,Container,CARGO
245870000,ZEEBURG,Cargo,CARGO
219018833,AURORA,Research/Survey ,OTHER
244967000,MADEUS SMARAGD,Cargo,CARGO
219939000,N/A ,,UNKNOWN
304242000,CELTIC SPIRIT,Cargo,CARGO
236584000,N/A ,,UNKNOWN
220476000,FRIGGA,Tug,TUG
111219512,N/A ,SAR,OTHER
209313000,RIX LAKE,Cargo,CARGO
304234000,DHAN LAXMI,Tanker,TANKER
226044000,ADARA,Chemical/Oil Tanker,TANKER
304225000,SINE BRES,Cargo,CARGO
477985600,N/A ,Bulk Carrier,CARGO
219007705,JETTELYS,Cargo,CARGO
246430000,NASSAUBORG,Cargo,CARGO
357773000,MSC IRIS,Container,CARGO
259768000,STEN SUOMI,Chemical/Oil Tanker,TANKER
219775000,TERNSUND,Chemical/Oil Tanker,TANKER
235011530,N/A ,Bulk Carrier,CARGO
219011491,DORIS K,Dredger,OTHER
236119000,N/A ,,CARGO
236598000,N/A ,,CARGO
244144000,N/A ,,CARGO
111219518,M 518,SAR,OTHER
212503000,RIX MISTRAL,Cargo,CARGO
246668000,LONGVIND,Cargo,CARGO
244976000,MISSISSIPPIBORG,Cargo,CARGO
209114000,RIX AMETHYST,Cargo,CARGO
255806137,AS CAROLINA,Container,CARGO
255802950,CGAS MONARCH,Tanker,TANKER
244772000,LEONIE,Cargo,CARGO
219263000,GUNNAR THORSON,Pollution Control Vessel,OTHER
372197000,N/A ,,TANKER
636011343,N/A ,,TANKER
273317900,OMSKIY-134,cargo,CARGO
246822000,HS FAIRNESS,cargo,CARGO
257268000,OSCA,Car carrier,CARGO
248675000,N/A ,,CARGO
305798000,MIAMI EXPRESS,Landing Craft??,OTHER
246315000,STELLA MARIS,Chemical/Oil Tanker,TANKER
377444000,N/A ,,CARGO
244860007,MARIETJE NORA,cargo,CARGO
236300000,N/A ,,CARGO
219001191,N/A ,,CARGO
538007102,PACIFIC RAWAN,Tanker,TANKER
245882000,N/A ,,CARGO
257222000,SEA PROSPECT,Cargo,CARGO
219023639,TOKI,,PLEASURE
219019037,MHG019,SAR,OTHER
266454000,DONIA,Chemical/Oil Tanker,TANKER
229033000,FLORIANA,Bulk Carrier,CARGO
245223000,BEUKBORG,Cargo,CARGO
219076000,TERNHOLM,Chemical/Oil Tanker,TANKER
245257000,EEMS CARRIER,Cargo,CARGO
232829000,N/A ,,TANKER
209151000,RIX ATLANTIC,Cargo,CARGO
249343000,SARAJEVO,Chemical/Oil Tanker,TANKER
304010688,N/A ,,CARGO
244847000,ELSBORG,cargo,CARGO
219551000,ARK GERMANIA,cargo,CARGO
538005902,STI ST CHARLES,Chemical/Oil Tanker,TANKER
304146000,KARIN LEHMANN,cargo,CARGO
311000714,N/A ,,CARGO
304483000,N/A ,cement carrier,CARGO
255806191,HEINRICH EHLER,Container,CARGO
235113759,N/A ,,TANKER
246571000,FRISIAN SPRING,cargo,CARGO
219018488,KRSTOI,other ,OTHER
376317000,N/A ,,UNKNOWN
219000899,NEKSELOEFAERGEN,passenger/ro ro cargo ,PASSANGER
212552000,N/A ,,CARGO
212900000,RIX AMBER,cargo,CARGO
218715000,N/A ,,CARGO
231815000,ICE CRYSTAL,cargo,CARGO
219021076,RIB-SVN 740-016,SAR,OTHER
219020909,N/A ,YHACT,PLEASURE
304057000,N/A ,,UNKNOWN
219013235,ODIN,Pleasure Craft ,PLEASURE
219013236,THOR,Pleasure Craft ,PLEASURE
259944000,N/A ,,TANKER
258342000,GUNNERUS,Research/Survey ,OTHER
305808000,CIELO,cargo,CARGO
246512000,NORDFJORD,cargo,CARGO
314456000,WILSON HOBRO,cargo,CARGO
266470000,SCORPIUS,Chemical/Oil Tanker,TANKER
219024653,RHIB-MTJ740-05,Military Ops,MILITARY
219020139,RIB-SVN 740-001,SAR,OTHER
257433000,N/A ,,UNKNOWN
304218000,FUXI,Chemical/Oil Tanker,TANKER
215062000,N/A ,,CARGO
209014000,RIX EMERALD,cargo,CARGO
266421000,SOLANDO,,TANKER
249720000,N/A ,,CARGO
