event,total_clicks,buzz_calls,buzz_rate,Exposure_3k,Exposure_500m,first_time,last_time
1679,120,17,0.141666667,0,0,2021-04-27 22:37:00,2021-04-27 22:54:00
1680,282,23,0.081560284,1,0,2021-04-28 00:57:00,2021-04-28 02:17:00
1681,2271,175,0.077058565,1,0,2021-04-28 19:19:00,2021-04-28 21:01:00
1682,2673,131,0.049008605,0,0,2021-04-28 21:54:00,2021-04-28 23:55:00
1683,175,19,0.108571429,1,0,2021-04-29 00:19:00,2021-04-29 00:41:00
1684,91,42,0.461538462,1,0,2021-04-29 01:43:00,2021-04-29 02:02:00
1685,240,18,0.075,0,0,2021-04-29 17:24:00,2021-04-29 17:30:00
1686,940,50,0.053191489,0,0,2021-04-29 19:52:00,2021-04-29 20:36:00
1687,172,28,0.162790698,0,0,2021-04-30 00:17:00,2021-04-30 00:23:00
1688,752,55,0.073138298,1,0,2021-04-30 00:37:00,2021-04-30 01:30:00
1689,840,101,0.120238095,0,0,2021-04-30 01:44:00,2021-04-30 03:17:00
1690,669,48,0.071748879,1,1,2021-04-30 18:05:00,2021-04-30 18:51:00
1691,6754,830,0.122890139,0,0,2021-04-30 19:06:00,2021-04-30 22:25:00
1692,417,8,0.019184652,0,0,2021-04-30 22:50:00,2021-05-01 00:10:00
1693,911,124,0.13611416,0,0,2021-05-01 00:41:00,2021-05-01 01:42:00
1694,1494,218,0.145917001,0,0,2021-05-01 02:02:00,2021-05-01 03:11:00
1695,301,15,0.049833887,0,0,2021-05-01 03:39:00,2021-05-01 03:46:00
1696,623,10,0.016051364,0,0,2021-05-01 04:02:00,2021-05-01 05:03:00
1697,241,7,0.029045643,1,0,2021-05-01 13:24:00,2021-05-01 13:25:00
1698,1261,35,0.027755749,1,1,2021-05-01 15:10:00,2021-05-01 16:02:00
1699,72,7,0.097222222,0,0,2021-05-01 18:37:00,2021-05-01 18:41:00
1700,264,12,0.045454545,0,0,2021-05-01 19:24:00,2021-05-01 20:04:00
1701,8009,585,0.073042827,1,1,2021-05-01 20:25:00,2021-05-02 00:35:00
1702,672,11,0.016369048,1,0,2021-05-02 00:57:00,2021-05-02 02:08:00
1703,421,36,0.085510689,0,0,2021-05-02 02:54:00,2021-05-02 03:56:00
1704,186,30,0.161290323,1,0,2021-05-02 05:56:00,2021-05-02 06:25:00
1705,134,11,0.082089552,1,1,2021-05-02 09:57:00,2021-05-02 09:59:00
1706,423,9,0.021276596,1,0,2021-05-02 14:37:00,2021-05-02 15:09:00
1707,230,10,0.043478261,0,0,2021-05-02 19:55:00,2021-05-02 19:57:00
1708,278,9,0.032374101,0,0,2021-05-02 20:12:00,2021-05-02 20:41:00
1709,1468,151,0.102861035,1,0,2021-05-02 21:06:00,2021-05-02 23:10:00
1710,421,22,0.052256532,1,0,2021-05-02 23:44:00,2021-05-03 00:06:00
1711,172,9,0.052325581,1,1,2021-05-03 18:23:00,2021-05-03 18:38:00
1712,85,47,0.552941176,0,0,2021-05-03 20:01:00,2021-05-03 20:06:00
1713,303,13,0.04290429,0,0,2021-05-03 20:36:00,2021-05-03 20:41:00
1714,2192,109,0.049726277,0,0,2021-05-03 20:55:00,2021-05-03 22:12:00
1715,1070,104,0.097196262,1,1,2021-05-03 23:50:00,2021-05-04 00:53:00
1716,363,10,0.027548209,0,0,2021-05-04 01:06:00,2021-05-04 01:57:00
1717,295,11,0.037288136,0,0,2021-05-04 02:55:00,2021-05-04 03:08:00
1718,397,8,0.020151134,1,0,2021-05-04 10:37:00,2021-05-04 11:30:00
1719,96,8,0.083333333,0,0,2021-05-04 14:32:00,2021-05-04 14:38:00
1720,1219,31,0.025430681,0,0,2021-05-04 17:30:00,2021-05-04 19:20:00
1721,4524,285,0.062997347,1,0,2021-05-04 19:32:00,2021-05-04 22:38:00
1722,2321,75,0.032313658,1,0,2021-05-04 23:26:00,2021-05-05 01:27:00
1723,244,8,0.032786885,0,0,2021-05-05 02:46:00,2021-05-05 03:15:00
1724,1241,28,0.02256245,1,1,2021-05-05 03:29:00,2021-05-05 04:28:00
